Feature,Mean_Abs_SHAP,Rank
hemo,0.08677936665004485,1
pcv,0.07915915911471044,2
sg,0.07515019129303009,3
sc,0.06684713854646925,4
al,0.05600623592920817,5
rc,0.05108877333122022,6
dm,0.025526227709074315,7
htn,0.0226831264903841,8
sod,0.013978020280278072,9
bu,0.012759226780595913,10
bgr,0.012131235334218941,11
bp,0.006365969923198821,12
appet,0.005344083684964524,13
su,0.004841893419894339,14
age,0.004576090845240971,15
pe,0.00454290556896417,16
pc,0.004211881402333926,17
wc,0.0035706376934709237,18
pot,0.003558386406269663,19
ane,0.0014217484292900879,20
rbc,0.0010821932670244507,21
ba,0.00033263632045632346,22
pcc,0.0,23
cad,0.0,24
